Case,Loation,Date,Summary,Fatalities,Injured,Victims,Location,Age,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,Race,Gender,Latitude,Longitude,Type,Year,Percentage
Sandy Hook Elementary massacre,"Newtown, Connecticut",14/12/2012,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.",27,2,29,School,20,Yes,No,"Two semiautomatic handguns, one rifle (assault), one shotgun (assault)",White,Male,41.4123225,-73.31142358,Mass,2012,0.793650794
Accent Signage Systems shooting,"Minneapolis, Minnesota",27/09/2012,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.",7,1,8,Workplace,36,Yes,Yes,One semiautomatic handgun,White,Male,44.977425,-93.310408,Mass,2012,0.793650794
Sikh temple shooting,"Oak Creek, Wisconsin",5/08/2012,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.",7,3,10,Religious,40,Yes,Yes,One semiautomatic handgun,White,Male,42.8858503,-87.8631362,Mass,2012,0.793650794
Aurora theater shooting,"Aurora, Colorado",20/07/2012,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.",12,70,82,Other,24,Yes,Yes,"Two semiautomatic handguns, one rifle (assault), one shotgun",White,Male,39.706038,-104.820594,Spree,2012,0.793650794
Seattle cafe shooting,"Seattle, Washington",20/05/2012,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",6,1,7,Other,40,Yes,Yes,Two semiautomatic handguns,White,Male,47.6038321,-122.3300624,Mass,2012,0.793650794
Oikos University killings,"Oakland, California",2/04/2012,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",7,3,10,School,43,Yes,Yes,One semiautomatic handgun,Asian,Male,37.8043808,-122.2708166,Mass,2012,0.793650794
Su Jung Health Sauna shooting,"Norcross, Georgia",21/02/2012,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",5,0,5,Other,59,Yes,Yes,One semiautomatic handgun,Asian,Male,33.9412127,-84.2135309,Mass,2012,0.793650794
Seal Beach shooting,"Seal Beach, California",12/10/2011,"Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested. Victims killed in the attack included his ex-wife, who Dekraai had a history of violently abusing, according to court records. The two had also been involved in a bitter custody battle.",8,1,9,Other,42,Yes,Yes,"Two semiautomatic handguns, one revolver",White,Male,33.741176,-118.1046356,Mass,2011,0.793650794
IHOP shooting,"Carson City, Nevada",6/09/2011,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.",5,7,12,Other,32,Yes,Yes,"Two rifles (both assault), one revolver",Latino,Male,39.1637984,-119.7674034,Mass,2011,0.793650794
Tucson shooting,"Tucson, Arizona",8/01/2011,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,Other,22,Yes,Yes,One semiautomatic handgun,White,Male,32.335941,-110.975132,Mass,2011,0.793650794
Hartford Beer Distributor shooting,"Manchester, Connecticut",3/08/2010,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",9,2,11,Workplace,34,No,Yes,Two semiautomatic handguns,Black,Male,41.798764,-72.570068,Mass,2010,0.793650794
Coffee shop police killings,"Parkland, Washington",29/11/2009,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,Other,37,Yes,No,One semiautomatic handgun,Black,Male,47.15277,-122.467308,Mass,2009,0.793650794
Fort Hood massacre,"Fort Hood, Texas",5/11/2009,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.",13,31,44,Military,39,Unclear,Yes,One semiautomatic handgun,Other,Male,31.135557,-97.783664,Mass,2009,0.793650794
Binghamton shootings,"Binghamton, New York",3/04/2009,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,Other,41,Yes,Yes,Two semiautomatic handguns,Asian,Male,42.099802,-75.917723,Mass,2009,0.793650794
Carthage nursing home shooting,"Carthage, North Carolina",29/03/2009,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,Other,45,Yes,Yes,"One revolver, one shotgun",White,Male,35.333434,-79.414592,Mass,2009,0.793650794
Atlantis Plastics shooting,"Henderson, Kentucky",25/06/2008,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide.",6,1,7,Workplace,25,No,Yes,One semiautomatic handgun,White,Male,37.76721,-87.5573742,Spree,2008,0.793650794
Northern Illinois University shooting,"DeKalb, Illinois",14/02/2008,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,School,27,Yes,Yes,"Three semiautomatic handguns, one shotgun",White,Male,41.9294736,-88.7503647,Mass,2008,0.793650794
Kirkwood City Council shooting,"Kirkwood, Missouri",7/02/2008,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police.",6,2,8,Other,52,No,No,"One semiautomatic handgun, one revolver",Black,Male,38.580093,-90.40691,Mass,2008,0.793650794
Westroads Mall shooting,"Omaha, Nebraska",5/12/2007,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,Other,19,Yes,No,One rifle (assault),White,Male,41.265719,-96.067495,Spree,2007,0.793650794
Crandon shooting,"Crandon, Wisconsin",7/10/2007,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,Other,20,Unclear,Yes,One rifle (assault),White,Male,45.5719072,-88.9028922,Mass,2007,0.793650794
Virginia Tech massacre,"Blacksburg, Virginia",16/04/2007,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,School,23,Yes,Yes,Two semiautomatic handguns,Asian,Male,37.2295733,-80.4139393,Mass,2007,0.793650794
Trolley Square shooting,"Salt Lake City, Utah",12/02/2007,"Sulejman Talović, 18, rampaged through the shopping center until he was shot dead by police.",6,4,10,Other,18,Unclear,Unknown,"One revolver, one shotgun",White,Male,40.7606467,-111.89109,Mass,2007,0.793650794
Amish school shooting,"Lancaster County, Pennsylvania",2/10/2006,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,School,32,No,Yes,"One semiautomatic handgun, one rifle, one shotgun",White,Male,39.9589,-76.0806,Mass,2006,0.793650794
Capitol Hill massacre,"Seattle, Washington",25/03/2006,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,Other,28,No,Yes,"Two semiautomatic handguns, one rifle (assault), one shotgun",White,Male,47.6229,-122.3165,Mass,2006,0.793650794
Goleta postal shootings,"Goleta, California",30/01/2006,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide.",8,0,8,Workplace,44,Yes,Yes,One semiautomatic handgun,White,Female,34.425571,-119.866069,Mass,2006,0.793650794
Red Lake massacre,"Red Lake, Minnesota",21/03/2005,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide.",10,5,15,School,16,Yes,No,"Two semiautomatic handguns, one shotgun",Indigenous ,Male,47.876346,-95.0169401,Mass,2005,0.793650794
Living Church of God shooting,"Brookfield, Wisconsin",12/03/2005,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",7,4,11,Religious,44,Yes,Yes,One semiautomatic handgun,White,Male,43.0605671,-88.1064787,Spree,2005,0.793650794
Damageplan show shooting,"Columbus, Ohio",8/12/2004,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.",5,7,12,Other,25,Yes,Yes,One semiautomatic handgun,White,Male,39.9622601,-83.0007065,Mass,2004,0.793650794
Lockheed Martin shooting,"Meridian, Mississippi",8/07/2003,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,Workplace,48,Yes,Yes,"One semiautomatic handgun, two rifles, one derringer, one shotgun",White,Male,32.410842,-88.634539,Mass,2003,0.793650794
Navistar shooting,"Melrose Park, Illinois",5/02/2001,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide.",5,4,9,Workplace,66,No,Yes,"Two rifles, one revolver, one shotgun",Black,Male,41.908163,-87.879908,Mass,2001,0.793650794
Wakefield massacre,"Wakefield, Massachusetts",26/12/2000,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,Workplace,42,Yes,Yes,"One semiautomatic handgun, one rifle (assault), one shotgun",White,Male,42.500429,-71.075913,Mass,2000,0.793650794
Hotel shooting,"Tampa, Florida",30/12/1999,"Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.",5,3,8,Workplace,36,Yes,Yes,"One semiautomatic handgun, one revolver",Latino,Male,27.966479,-82.570586,Spree,1999,0.793650794
Xerox killings,"Honolulu, Hawaii",2/11/1999,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,Workplace,40,Yes,Yes,One semiautomatic handgun,Asian,Male,21.320063,-157.876462,Spree,1999,0.793650794
Wedgwood Baptist Church shooting,"Fort Worth, Texas",15/09/1999,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",8,7,15,Religious,47,Yes,Yes,Two semiautomatic handguns,White,Male,32.664511,-97.384246,Mass,1999,0.793650794
Atlanta day trading spree killings,"Atlanta, Georgia",29/07/1999,"Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two day-trading firms. He started at the All-Tech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)",9,13,22,Workplace,44,Yes,Yes,"Three semiautomatic handguns, one revolver",White,Male,33.850116,-84.377839,Mass,1999,0.793650794
Columbine High School massacre,"Littleton, Colorado",20/04/1999,"Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide.",13,24,37,School,17,Yes,No,"One semiautomatic handgun (assault), one rifle (assault), two shotguns",White,Male,39.604034,-105.074103,Mass,1999,0.793650794
Thurston High School shooting,"Springfield, Oregon",21/05/1998,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.   ",4,25,29,School,15,Yes,No,"Two semiautomatic handguns, one rifle",White,Male,44.0462362,-123.0220289,Mass,1998,0.793650794
Westside Middle School killings,"Jonesboro, Arkansas",24/03/1998,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",5,10,15,School,11,No,No,"Two semiautomatic handguns, two rifles, three revolvers, two derringers",White,Male,35.8209895,-90.6682606,Mass,1998,0.793650794
Connecticut Lottery shooting,"Newington, Connecticut",6/03/1998,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.",5,1,6,Workplace,35,Yes,Yes,One semiautomatic handgun,White,Male,41.6856325,-72.72983827,Mass,1998,0.793650794
Caltrans maintenance yard shooting,"Orange, California",18/12/1997,"Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.",5,2,7,Workplace,41,No,Yes,One rifle (assault),Latino,Male,33.7877944,-117.8531119,Spree,1997,0.793650794
R.E. Phelon Company shooting,"Aiken, South Carolina",15/09/1997,"Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later.",4,3,7,Workplace,43,No,No,One semiautomatic handgun,Black,Male,33.5598586,-81.721952,Mass,1997,0.793650794
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",9/02/1996,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,Workplace,41,Yes,Yes,"One semiautomatic handgun, one revolver",Black,Male,26.119269,-80.104119,Spree,1996,0.793650794
Walter Rossler Company massacre,"Corpus Christi, Texas",3/04/1995,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.",6,0,6,Workplace,28,No,Yes,"One semiautomatic handgun, one revolver",Unknown,Male,27.828025,-97.548198,Mass,1995,0.793650794
Air Force base shooting,"Fairchild Air Force Base, Washington",20/06/1994,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.",5,23,28,Military,20,Yes,Yes,One rifle (assault),White,Male,47.61864486,-117.6483587,Mass,1994,0.793650794
Chuck E. Cheese's killings,"Aurora, Colorado",14/12/1993,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row.",4,1,5,Workplace,19,Unclear,Unknown,One semiautomatic handgun,Black,Male,39.675599,-104.844845,Mass,1993,0.793650794
Long Island Rail Road massacre,"Garden City, New York",7/12/1993,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.",6,19,25,Other,35,Yes,Yes,One semiautomatic handgun,Black,Male,40.7267682,-73.6342955,Spree,1993,0.793650794
Luigi's shooting,"Fayetteville, North Carolina",6/08/1993,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.",4,8,12,Other,22,No,Yes,"One rifle, two shotguns",White,Male,35.0529931,-78.8787058,Mass,1993,0.793650794
101 California Street shootings,"San Francisco, California",1/07/1993,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him.",9,6,15,Other,55,No,No,Three semiautomatic handguns (two assault),White,Male,37.792968,-122.397973,Mass,1993,0.793650794
Watkins Glen killings,"Watkins Glen, New York",15/10/1992,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments.",5,0,5,Other,50,Yes,Yes,One semiautomatic handgun,White,Male,42.3810555,-76.8705777,Mass,1992,0.793650794
Lindhurst High School shooting,"Olivehurst, California",1/05/1992,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",4,10,14,School,20,No,Yes,"One rifle, one shotgun",White,Male,39.07868761,-121.5475762,Mass,1992,0.793650794
Royal Oak postal shootings,"Royal Oak, Michigan",14/11/1991,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.",5,5,10,Workplace,31,Yes,Yes,One rifle,White,Male,42.4894801,-83.1446485,Mass,1991,0.793650794
University of Iowa shooting,"Iowa City, Iowa",1/11/1991,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",6,1,7,School,28,Unclear,Yes,One revolver,Asian,Male,41.6606893,-91.5302214,Spree,1991,0.793650794
Luby's massacre,"Killeen, Texas",16/10/1991,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.",24,20,44,Other,35,No,Yes,Two semiautomatic handguns,White,Male,31.1171194,-97.7277959,Mass,1991,0.793650794
GMAC massacre,"Jacksonville, Florida",18/06/1990,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)",10,4,14,Other,42,No,Yes,"One rifle, one revolver",Black,Male,30.3321838,-81.655651,Mass,1990,0.793650794
Standard Gravure shooting,"Louisville, Kentucky",14/09/1989,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.",9,12,21,Workplace,47,Yes,Yes,"Three semiautomatic handguns (two assault), one rifle (assault), one revolver",White,Male,38.2542376,-85.759407,Mass,1989,0.793650794
Stockton schoolyard shooting,"Stockton, California",17/01/1989,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",6,29,35,School,26,Yes,Yes,"One semiautomatic handgun, one rifle (assault)",White,Male,37.9577016,-121.2907796,Mass,1989,0.793650794
ESL shooting,"Sunnyvale, California",16/02/1988,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin.",7,4,11,Workplace,39,Yes,Yes,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",White,Male,37.3688301,-122.0363496,Mass,1988,0.793650794
Shopping centers spree killings,"Palm Bay, Florida",23/04/1987,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009.",6,14,20,Other,59,Yes,Yes,"One rifle, one revolver, one shotgun",White,Male,28.0331886,-80.6429695,Spree,1987,0.793650794
United States Postal Service shooting,"Edmond, Oklahoma",20/08/1986,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.",15,6,21,Workplace,44,Unclear,Yes,Three semiautomatic handguns,White,Male,35.6672015,-97.42937037,Mass,1986,0.793650794
San Ysidro McDonald's massacre,"San Ysidro, California",18/07/1984,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer.",22,19,41,Other,41,Yes,Yes,"One semiautomatic handgun, one rifle (assault), one shotgun",White,Male,32.5520013,-117.0430813,Mass,1984,0.793650794
Dallas nightclub shooting,"Dallas, Texas",29/06/1984,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested.",6,1,7,Other,39,Yes,No,One semiautomatic handgun,White,Male,32.925166,-96.838676,Mass,1984,0.793650794
Welding shop shooting,"Miami, Florida",20/08/1982,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene.",8,3,11,Other,51,Yes,Yes,One shotgun,White,Male,25.796491,-80.226683,Mass,1982,0.793650794
